方向,代码,名称,订单价格,订单数量,订单金额,交易状态,已成交@均价,下单时间,类型,期限,盘前竞价,时段,触发价,允许开仓,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间
买入,CRML,Critical Metals,11.13,500,"5,565.00",全部成交,500@11.13,2026/02/25 11:11:03 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,480,11.13,"5,342.40",2026/02/25 11:11:04 (美东)
买入,MSFT,微软,388.44,40,"15,537.60",全部成交,40@388.44,2026/02/23 09:51:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,40,388.44,"15,537.60",2026/02/23 09:51:27 (美东)
买入,CRML,Critical Metals,10.87,500,"5,435.00",全部成交,500@10.87,2026/02/06 10:40:31 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,90,10.87,978.3,2026/02/06 10:41:57 (美东)
买入,UNH,联合健康,269.85,50,"13,492.50",全部成交,50@269.845,2026/02/05 11:10:00 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,50,269.845,"13,492.25",2026/02/05 11:10:00 (美东)
卖出,AAPL,苹果,273.6,200,"54,720.00",全部成交,200@273.6415,2026/02/05 11:08:45 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,200,273.6415,"54,728.30",2026/02/05 11:08:46 (美东)
买入,MSFT,微软,410,40,"16,400.00",全部成交,40@410.00,2026/02/04 09:53:23 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,410,"4,100.00",2026/02/04 09:55:35 (美东)
买入,MSFT,微软,432.72,40,"17,308.80",全部成交,40@432.3697,2026/01/29 09:33:09 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,40,432.3697,"17,294.79",2026/01/29 09:33:09 (美东)
买入,UNH,联合健康,293.77,50,"14,688.50",全部成交,50@293.77,2026/01/28 11:26:15 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,50,293.77,"14,688.50",2026/01/28 11:26:18 (美东)
买入,AAPL,苹果,256.7,70,"17,969.00",全部成交,70@256.565,2026/01/28 10:39:26 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,70,256.565,"17,959.55",2026/01/28 10:39:26 (美东)
买入,UNH,联合健康,283.18,50,"14,159.00",全部成交,50@283.18,2026/01/27 10:00:38 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,50,283.18,"14,159.00",2026/01/27 10:01:51 (美东)
卖出,INTC,英特尔,46.26,800,"37,008.00",全部成交,800@46.28,2026/01/23 09:33:36 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,800,46.28,"37,024.00",2026/01/23 09:33:36 (美东)
买入,CRML,Critical Metals,17.32,500,"8,660.00",全部成交,500@17.32,2026/01/22 10:08:39 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,17.32,"8,660.00",2026/01/22 10:08:45 (美东)
买入,MSFT,微软,452.96,40,"18,118.40",全部成交,40@452.9194,2026/01/20 09:39:17 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,40,452.9194,"18,116.78",2026/01/20 09:39:17 (美东)
卖出,BABA,阿里巴巴,167.9,"1,000","167,900.00",全部成交,"1,000@167.90",2026/01/16 09:36:24 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,980,167.9,"164,542.00",2026/01/16 09:36:24 (美东)
买入,AAPL,苹果,261.18,70,"18,282.60",全部成交,70@261.18,2026/01/12 10:28:10 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,46,261.18,"12,014.28",2026/01/12 10:28:11 (美东)
买入,BABA,阿里巴巴,165.08,200,"33,016.00",全部成交,200@165.08,2026/01/12 10:25:49 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,200,165.08,"33,016.00",2026/01/12 10:25:50 (美东)
卖出,CRML,Critical Metals,14.25,500,"7,125.00",全部成交,500@14.25,2026/01/12 10:19:47 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,14.25,"7,125.00",2026/01/12 10:19:49 (美东)
卖出,UNH,联合健康,336.49,100,"33,649.00",全部成交,100@336.49,2026/01/12 10:19:04 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,100,336.49,"33,649.00",2026/01/12 10:19:04 (美东)
卖出,CRML,Critical Metals,10.72,500,"5,360.00",全部成交,500@10.72,2026/01/06 10:42:31 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,10.72,"5,360.00",2026/01/06 13:50:54 (美东)
买入,BABA,阿里巴巴,148.09,300,"44,427.00",全部成交,300@148.09,2025/12/30 11:55:38 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,300,148.09,"44,427.00",2025/12/30 11:55:39 (美东)
买入,CRML,Critical Metals,8.15,500,"4,075.00",全部成交,500@8.1297,2025/12/22 10:46:32 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,8.1297,"4,064.85",2025/12/22 10:46:33 (美东)
买入,AAPL,苹果,278.84,50,"13,942.00",全部成交,50@278.8386,2025/12/09 09:35:57 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,50,278.8386,"13,941.93",2025/12/09 09:35:57 (美东)
买入,UNH,联合健康,327.11,50,"16,355.50",全部成交,50@327.11,2025/12/02 10:15:25 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,50,327.11,"16,355.50",2025/12/02 10:16:18 (美东)
买入,MSFT,微软,473.86,40,"18,954.40",全部成交,40@473.86,2025/11/24 09:40:50 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,40,473.86,"18,954.40",2025/11/24 09:40:51 (美东)
买入,UNH,联合健康,310.66,50,"15,533.00",全部成交,50@310.66,2025/11/20 10:07:04 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,50,310.66,"15,533.00",2025/11/20 10:07:06 (美东)
买入,MSFT,微软,492.82,50,"24,641.00",全部成交,50@492.82,2025/11/20 10:05:17 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,50,492.82,"24,641.00",2025/11/20 10:05:26 (美东)
买入,TSLA,特斯拉,409.13,50,"20,456.50",全部成交,50@409.13,2025/11/19 10:01:26 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,409.13,"4,091.30",2025/11/19 10:01:27 (美东)
买入,CRML,Critical Metals,12,"1,000","12,000.00",全部成交,"1,000@12.00",2025/10/30 09:35:13 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,"1,000",12,"12,000.00",2025/10/30 09:35:23 (美东)
买入,BABA,阿里巴巴,175.33,300,"52,599.00",全部成交,300@175.33,2025/10/30 09:32:24 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,275,175.33,"48,215.75",2025/10/30 09:32:24 (美东)
买入,INTC,英特尔,40.41,700,"28,287.00",全部成交,700@40.4096,2025/10/28 09:35:54 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,700,40.4096,"28,286.72",2025/10/28 09:35:54 (美东)
卖出,TSLA,特斯拉,441,100,"44,100.00",全部成交,100@441.00,2025/10/24 10:00:52 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,100,441,"44,100.00",2025/10/24 10:01:49 (美东)
买入,MSFT,微软,514.84,50,"25,742.00",全部成交,50@514.81,2025/10/20 09:51:44 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,50,514.81,"25,740.50",2025/10/20 09:51:45 (美东)
卖出,CRML,Critical Metals,市价,"2,798","53,245.94",全部成交,"2,798@19.03",2025/10/17 13:28:24 (美东),市价单,当日有效,,盘中,,,美股,USD,,"2,798",19.03,"53,245.94",2025/10/17 13:28:25 (美东)
买入,CRML,Critical Metals,23.24,"1,000","23,240.00",全部成交,"1,000@23.23188",2025/10/16 09:46:38 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,561,23.24,"13,037.64",2025/10/16 09:46:38 (美东)
卖出,CRML,Critical Metals,26.42,"1,600","42,272.00",全部成交,"1,600@26.42",2025/10/15 09:33:11 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,"1,157",26.42,"30,567.94",2025/10/15 09:33:19 (美东)
卖出,UNH,联合健康,354.11,100,"35,411.00",全部成交,100@354.11,2025/10/14 09:39:15 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,100,354.11,"35,411.00",2025/10/14 09:39:15 (美东)
买入,CRML,Critical Metals,20.07,"1,000","20,070.00",全部成交,"1,000@20.07",2025/10/13 10:03:18 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,978,20.07,"19,628.46",2025/10/13 10:03:20 (美东)
买入,BABA,阿里巴巴,168.36,"1,000","168,360.00",全部成交,"1,000@168.36",2025/10/13 09:59:40 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,998,168.36,"168,023.28",2025/10/13 09:59:40 (美东)
买入,BABA,阿里巴巴,167.87,"2,000","335,740.00",全部成交,"2,000@167.86807",2025/10/13 09:58:21 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,109,167.87,"18,297.83",2025/10/13 09:58:24 (美东)
买入,BABA,阿里巴巴,166.8,"1,000","166,800.00",全部成交,"1,000@166.7283",2025/10/13 09:34:22 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,"1,000",166.7283,"166,728.30",2025/10/13 09:34:22 (美东)
买入,CRML,Critical Metals,17.89,"1,000","17,890.00",全部成交,"1,000@17.889",2025/10/10 11:25:07 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,800,17.89,"14,312.00",2025/10/10 11:25:13 (美东)
买入,CRML,Critical Metals,17.88,"1,398","24,996.24",全部成交,"1,398@17.87928",2025/10/10 11:22:53 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,940,17.88,"16,807.20",2025/10/10 11:22:53 (美东)
卖出,BABA,阿里巴巴,163.42,"1,000","163,420.00",全部成交,"1,000@163.42",2025/10/10 11:20:02 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,525,163.42,"85,795.50",2025/10/10 11:20:49 (美东)
卖出,BABA,阿里巴巴,164.82,"2,000","329,640.00",全部成交,"2,000@164.82157",2025/10/10 11:18:02 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,802,164.82,"132,185.64",2025/10/10 11:18:02 (美东)
买入,UNH,联合健康,361.87,70,"25,330.90",全部成交,70@361.87,2025/10/07 09:38:08 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,70,361.87,"25,330.90",2025/10/07 09:38:39 (美东)
买入,AAPL,苹果,256.92,100,"25,692.00",全部成交,100@256.92,2025/10/07 09:36:53 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,100,256.92,"25,692.00",2025/10/07 09:36:58 (美东)
卖出,TSLA,特斯拉,426.03,160,"68,164.80",全部成交,160@426.03,2025/10/03 12:48:12 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,100,426.03,"42,603.00",2025/10/03 12:48:13 (美东)
买入,INTC,英特尔,33.97,"1,300","44,161.00",全部成交,"1,300@33.97",2025/09/29 09:39:26 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,"1,220",33.97,"41,443.40",2025/09/29 09:40:23 (美东)
买入,BABA,阿里巴巴,176.74,300,"53,022.00",全部成交,300@176.74,2025/09/24 09:34:20 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,299,176.74,"52,845.26",2025/09/24 09:34:38 (美东)
卖出,TSLA,特斯拉,435,300,"130,500.00",全部成交,300@435.00,2025/09/23 09:41:59 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,300,435,"130,500.00",2025/09/23 09:42:06 (美东)
卖出,INTC,英特尔,29.51,"1,300","38,363.00",全部成交,"1,300@29.51",2025/09/19 09:50:57 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,"1,300",29.51,"38,363.00",2025/09/19 09:51:04 (美东)
买入,MSFT,微软,512.57,20,"10,251.40",全部成交,20@512.56,2025/09/18 10:35:59 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,20,512.56,"10,251.20",2025/09/18 10:36:44 (美东)
买入,UNH,联合健康,342.42,60,"20,545.20",全部成交,60@342.42,2025/09/17 14:03:28 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,21,342.42,"7,190.82",2025/09/17 14:03:31 (美东)
卖出,UNH,联合健康,343.6,75,"25,770.00",全部成交,75@343.60,2025/09/16 09:38:48 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,6,343.6,"2,061.60",2025/09/16 09:38:48 (美东)
买入,AAPL,苹果,240.28,60,"14,416.80",全部成交,60@240.28,2025/09/05 10:03:59 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,60,240.28,"14,416.80",2025/09/05 10:16:26 (美东)
买入,BABA,阿里巴巴,121.22,400,"48,488.00",全部成交,400@121.22,2025/08/27 09:34:30 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,400,121.22,"48,488.00",2025/08/27 09:36:28 (美东)
买入,AAPL,苹果,228.83,50,"11,441.50",全部成交,50@228.83,2025/08/27 09:30:44 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,9,228.83,"2,059.47",2025/08/27 09:30:44 (美东)
买入,MSFT,微软,503.65,30,"15,109.50",全部成交,30@503.65,2025/08/26 09:32:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,30,503.65,"15,109.50",2025/08/26 09:32:27 (美东)
买入,INTC,英特尔,24.99,500,"12,495.00",全部成交,500@24.99,2025/08/15 09:48:21 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,24.99,"12,495.00",2025/08/15 09:48:22 (美东)
买入,UNH,联合健康,300,30,"9,000.00",全部成交,30@300.00,2025/08/15 09:37:34 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,30,300,"9,000.00",2025/08/15 09:38:03 (美东)
买入,BABA,阿里巴巴,122.72,300,"36,816.00",全部成交,300@122.72,2025/08/14 10:33:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,300,122.72,"36,816.00",2025/08/14 10:34:56 (美东)
买入,INTC,英特尔,19.4,800,"15,520.00",全部成交,800@19.40,2025/08/04 10:08:40 (美东),限价单,当日有效,,盘中,,,美股,USD,,800,19.4,"15,520.00",2025/08/04 10:38:58 (美东)
买入,TSLA,特斯拉,302,30,"9,060.00",全部成交,30@302.00,2025/08/01 11:09:18 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,30,302,"9,060.00",2025/08/01 14:09:37 (美东)
买入,UNH,联合健康,242.7,30,"7,281.00",全部成交,30@242.70,2025/08/01 11:07:37 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,30,242.7,"7,281.00",2025/08/01 11:07:37 (美东)
买入,BABA,阿里巴巴,118.78,300,"35,634.00",全部成交,300@118.78,2025/07/30 10:47:31 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,300,118.78,"35,634.00",2025/07/30 10:47:56 (美东)
买入,UNH,联合健康,262.88,30,"7,886.40",全部成交,30@262.88,2025/07/30 09:31:37 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,30,262.88,"7,886.40",2025/07/30 09:31:40 (美东)
卖出,BABA,阿里巴巴,120.14,"2,000","240,280.00",全部成交,"2,000@120.14",2025/07/25 10:02:34 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,"1,800",120.14,"216,252.00",2025/07/25 10:03:21 (美东)
买入,TSLA,特斯拉,302,50,"15,100.00",全部成交,50@302.00,2025/07/24 09:39:51 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,50,302,"15,100.00",2025/07/24 09:40:08 (美东)
卖出,TSLA,特斯拉,333.3,40,"13,332.00",全部成交,40@333.30,2025/07/22 11:17:17 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,40,333.3,"13,332.00",2025/07/22 14:10:10 (美东)
买入,UNH,联合健康,286.37,30,"8,591.10",全部成交,30@286.37,2025/07/22 10:05:06 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,30,286.37,"8,591.10",2025/07/22 10:05:07 (美东)
卖出,TSLA,特斯拉,321,40,"12,840.00",全部成交,40@321.00,2025/07/17 12:37:04 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,40,321,"12,840.00",2025/07/17 12:38:14 (美东)
买入,BABA,阿里巴巴,108,500,"54,000.00",全部成交,500@108.00,2025/07/07 09:34:43 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,108,"54,000.00",2025/07/07 09:35:20 (美东)
买入,TSLA,特斯拉,313.71,40,"12,548.40",全部成交,40@313.71,2025/07/02 10:26:18 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,40,313.71,"12,548.40",2025/07/02 10:26:18 (美东)
卖出,INTC,英特尔,22.61,"1,700","38,437.00",全部成交,"1,700@22.615",2025/06/27 15:11:30 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,"1,700",22.615,"38,445.50",2025/06/27 15:11:30 (美东)
买入,BABA,阿里巴巴,114.22,300,"34,266.00",全部成交,300@114.22,2025/06/18 10:12:13 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,300,114.22,"34,266.00",2025/06/18 10:12:32 (美东)
买入,BABA,阿里巴巴,113.7,500,"56,850.00",全部成交,500@113.70,2025/06/13 09:48:57 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,113.7,"56,850.00",2025/06/13 10:12:50 (美东)
买入,TSLA,特斯拉,333,40,"13,320.00",全部成交,40@333.00,2025/06/11 10:25:59 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,40,333,"13,320.00",2025/06/11 10:29:50 (美东)
买入,BABA,阿里巴巴,114.2,300,"34,260.00",全部成交,300@114.20,2025/05/30 10:31:28 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,300,114.2,"34,260.00",2025/05/30 10:35:03 (美东)
买入,UNH,联合健康,301.4,30,"9,042.00",全部成交,30@301.40,2025/05/28 11:12:56 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,30,301.4,"9,042.00",2025/05/28 11:13:28 (美东)
买入,BABA,阿里巴巴,117.2,300,"35,160.00",全部成交,300@117.20,2025/05/28 09:48:41 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,300,117.2,"35,160.00",2025/05/28 09:49:36 (美东)
买入,BABA,阿里巴巴,119.2,300,"35,760.00",全部成交,300@119.20,2025/05/27 09:37:20 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,300,119.2,"35,760.00",2025/05/27 09:38:17 (美东)
买入,INTC,英特尔,20,500,"10,000.00",全部成交,500@20.00,2025/05/23 09:42:33 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,20,"10,000.00",2025/05/23 09:45:52 (美东)
买入,INTC,英特尔,20.68,700,"14,476.00",全部成交,700@20.68,2025/05/22 12:00:00 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,700,20.68,"14,476.00",2025/05/22 15:46:06 (美东)
买入,BABA,阿里巴巴,123.4,300,"37,020.00",全部成交,300@123.40,2025/05/15 11:34:47 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,299,123.4,"36,896.60",2025/05/15 12:33:30 (美东)
卖出,TSLA,特斯拉,303.15,100,"30,315.00",全部成交,100@303.15,2025/05/09 10:19:48 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,100,303.15,"30,315.00",2025/05/09 10:20:38 (美东)
买入,INTC,英特尔,21.09,500,"10,545.00",全部成交,500@21.0899,2025/05/08 11:44:45 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,21.0899,"10,544.95",2025/05/08 11:44:45 (美东)
买入,BABA,阿里巴巴,126.58,300,"37,974.00",全部成交,300@126.58,2025/05/05 11:39:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,200,126.58,"25,316.00",2025/05/05 11:39:27 (美东)
卖出,MSFT,微软,430.5,283,"121,831.50",全部成交,283@430.50311,2025/05/01 07:18:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,83,430.51,"35,732.33",2025/05/01 07:21:47 (美东)
卖出,TSLA,特斯拉,280.31,50,"14,015.50",全部成交,50@280.376,2025/04/28 11:07:32 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,50,280.376,"14,018.80",2025/04/28 11:07:32 (美东)
卖出,TSLA,特斯拉,279,50,"13,950.00",全部成交,50@279.00,2025/04/25 11:17:58 (美东),限价单,当日有效,,盘中,,,美股,USD,,50,279,"13,950.00",2025/04/25 11:21:53 (美东)
买入,TSLA,特斯拉,278.64,100,"27,864.00",全部成交,100@278.64,2025/03/25 10:51:37 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,82,278.64,"22,848.48",2025/03/25 10:51:39 (美东)
卖出,BABA,阿里巴巴,132.08,"5,000","660,400.00",全部成交,"5,000@132.08",2025/02/25 09:59:52 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,"3,290",132.08,"434,543.20",2025/02/25 09:59:54 (美东)
买入,TSLA,特斯拉,414.69,150,"62,203.50",全部成交,150@414.604,2025/01/31 09:59:57 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,60,414.61,"24,876.60",2025/01/31 09:59:57 (美东)
买入,MSFT,微软,418.49,200,"83,698.00",全部成交,200@418.49,2025/01/31 09:58:16 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,145,418.49,"60,681.05",2025/01/31 10:24:42 (美东)
卖出,BABA,阿里巴巴,101.22,"1,500","151,830.00",全部成交,"1,500@101.22",2025/01/31 09:57:14 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,841,101.22,"85,126.02",2025/01/31 09:57:15 (美东)
